China (Coal),14.32%
Saudi Arabian Oil Company (Aramco),4.50%
Gazprom OAO,3.91%
National Iranian Oil Co,2.28%
ExxonMobil Corp,1.98%
Coal India,1.87%
Petroleos Mexicanos (Pemex),1.87%
Russia (Coal),1.86%
Royal Dutch Shell PLC,1.67%
China National Petroleum Corp (CNPC),1.56%
BP PLC,1.53%
Chevron Corp,1.31%
Petroleos de Venezuela SA (PDVSA),1.23%
Abu Dhabi National Oil Co,1.20%
Poland Coal,1.16%
Peabody Energy Corp,1.15%
Sonatrach SPA,1.00%
Kuwait Petroleum Corp,1.00%
Total SA,0.95%
BHP Billiton Ltd,0.91%
ConocoPhillips,0.91%
Petroleo Brasileiro SA (Petrobras),0.77%
Lukoil OAO,0.75%
Rio Tinto,0.75%
Nigerian National Petroleum Corp,0.72%
Petroliam Nasional Berhad (Petronas),0.69%
Rosneft OAO,0.65%
Arch Coal Inc,0.63%
Iraq National Oil Co,0.60%
Eni SPA,0.59%
Anglo American,0.59%
Surgutneftegas OAO,0.57%
Alpha Natural Resources Inc,0.54%
Qatar Petroleum Corp,0.54%
PT Pertamina,0.54%
Kazakhstan Coal,0.53%
Statoil ASA,0.52%
National Oil Corporation of Libya,0.50%
Consol Energy Inc,0.50%
Ukraine Coal,0.49%
RWE AG,0.47%
Oil & Natural Gas Corp Ltd,0.40%
Glencore PLC,0.38%
TurkmenGaz,0.36%
Sasol Ltd,0.35%
Repsol SA,0.33%
Anadarko Petroleum Corp,0.33%
Egyptian General Petroleum Corp,0.31%
Petroleum Development Oman LLC,0.31%
Czech Republic Coal,0.30%
China Petrochemical Corp (Sinopec),0.29%
China National Offshore Oil Corp Ltd (CNOOC),0.28%
Ecopetrol SA,0.27%
Singareni Collieries Company,0.27%
Occidental Petroleum Corp,0.26%
Sonangol EP,0.26%
Tatneft OAO,0.23%
North Korea Coal,0.23%
Bumi Resources,0.23%
Suncor Energy Inc,0.22%
Petoro AS,0.21%
Devon Energy Corp,0.20%
Natural Resource Partners LP,0.19%
Marathon Oil Corp,0.19%
Vistra Energy,0.19%
Encana Corp,0.18%
Canadian Natural Resources Ltd,0.17%
Hess Corp,0.16%
Exxaro Resources Ltd,0.16%
YPF SA,0.15%
Apache Corp,0.15%
Murray Coal,0.15%
Alliance Resource Partners LP,0.15%
Syrian Petroleum Co,0.15%
Novatek OAO,0.14%
NACCO Industries Inc,0.13%
KazMunayGas,0.13%
Adaro Energy PT,0.13%
Petroleos del Ecuador,0.12%
Inpex Corp,0.12%
Kiewit Mining Group,0.12%
AP Moller (Maersk),0.11%
Banpu Public Co Ltd,0.11%
EOG Resources Inc,0.11%
Husky Energy Inc,0.11%
Kideco Jaya Agung PT,0.10%
Bahrain Petroleum Co (BAPCO),0.10%
Westmoreland Coal Co,0.10%
Cloud Peak Energy Inc,0.10%
Chesapeake Energy Corp,0.10%
Drummond Co,0.09%
Teck Resources Ltd,0.09%
Turkmennebit,0.07%
OMV AG,0.06%
Noble Energy Inc,0.06%
Murphy Oil Corp,0.06%
Berau Coal Energy Tbk PT,0.06%
Bukit Asam (Persero) Tbk PT,0.05%
Indika Energy Tbk PT,0.04%
Southwestern Energy Co,0.04%
